ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,organic_C_t2,log_organic_C_rr,per_OC_change,OC_change_rate,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.47,1.47,1.463397989,1.466883833,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,41.6,36.6,,,,,41.6,36.6,3.912264151,2.043654822,-0.055612245,-0.555555556,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,3.26,3.08,,,3.26,3.08,,,,0.4075,0.44
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,sprinklers,sprinkler,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.46,1.46,1.452020259,1.4527605,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,33.85,33.325,,,,,33.85,33.325,3.183416863,1.860786802,-0.006788515,-0.058333333,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,5.29,5.17,,,3.2525,3.2425,,,,0.4065625,0.463214286
38a,Silva et al.,2016,Brazil,Petrolina-2 -N,South America,yes,N-,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,no,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,,,1.473103161,1.469595167,LS,81,6,LS,81,6,6.7,6.5,,,,,,,,,,,,,,5,5,10.4,7.97,-0.115575018,-23.36538462,-1.215,,,,,1.628306059,1.141843186,,,,,,,30.64054575,23.42534696,2.881584344,1.308014297,-0.116610464,-3.607599395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38a,Silva et al.,2016,Brazil,Petrolina-2 -N,South America,yes,N-,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,no,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,,,1.495112356,1.513363333,,,,,,,6.2,6.2,,,,,,,,,,,,,,5,5,4.9,3.54,-0.141192818,-27.75510204,-0.68,,,,,0.767182663,0.507167488,,,,,,,14.65210109,10.7146124,1.377954082,0.59827785,-0.135923441,-1.968744345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b,Silva et al.,2016,Brazil,Petrolina-2 +N,South America,yes,N+,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,yes,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,,,1.483809483,1.480792333,LS,81,6,LS,81,6,6.7,6.4,,,,,,,,,,,,,,5,5,10.4,6.6,-0.197489404,-36.53846154,-1.9,,0.9,,0.136363636,1.628306059,0.945566502,,,,,,,30.86323725,19.5464588,2.902527324,1.091426633,-0.198373389,-5.658389225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b,Silva et al.,2016,Brazil,Petrolina-2 +N,South America,yes,N+,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,yes,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,,,1.496480172,1.5120125,,,,,,,6.2,6,,,,,,,,,,,,,,5,5,4.9,4.1,-0.077412223,-16.32653061,-0.4,,0.7,,0.170731707,0.767182663,0.58908046,,,,,,,14.66550569,12.3985025,1.379214715,0.69230217,-0.072927809,-1.133501595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,0,8,7.5,0-10cm,0-10cm,1.44,1.37,1.445574,1.381616,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,11,13.3,0.082458956,20.90909091,0.209090909,,,,,1.722247,1.90546,,,,,,,12.72105,14.70039,1.196349,0.820834,0.062805897,0.17994,,,,,,,,,,,,,,,,,,,,,,3,3,1.29,1.54,,,,,0.206842,0.368547,,,,,1.491833,1.702151,0.076931011,,,0.186479,0.243164
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,8,15,7.5,10-20cm,10-20cm,1.5,1.56,1.494523,1.531206,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,10.9,8.8,-0.092943826,-19.26605505,-0.190909091,,,,,1.70659,1.260755,,,,,,,11.40321,9.432229,1.072413,0.526673,-0.082412786,-0.179180091,,,,,,,,,,,,,,,,,,,,,,3,3,1.25,1.27,,,,,0.200428,0.303932,,,,,1.307708,1.361242,0.006893708,,,0.163463,0.194463
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,15,30,15,20-30cm,20-30cm,1.51,1.56,1.503045,1.523116,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,9,8,-0.051152522,-11.11111111,-0.090909091,,,,,1.409111,1.146141,,,,,,,20.29111,18.2774,1.908273,1.020565,-0.045391389,-0.183064545,,,,,,,,,,,,,,,,,,,,,,3,3,1.45,1.11,,,,,0.232497,0.265641,,,,,3.269123,2.535989,-0.116045023,,,0.40864,0.362284
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.426403,1.445732667,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,2.733333333,1.933333333,-0.150385859,-29.26829269,-0.072727273,,,,,0.427952333,0.276984,,,,,,,11.698465,8.377812,1.100179667,0.467796333,-0.14499827,-0.301877545,,,,,,,,,,,,,,,,,,,,,,3,3,0.45,0.426666667,,,,,0.072154333,0.102108,,,,,1.925948667,1.849869333,-0.023123799,,,0.240743667,0.264267333
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,0,8,7.5,0-10cm,0-10cm,1.44,1.37,1.428299,1.365954,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,12.7,17,0.1266452,33.85826772,0.390909091,0.4,1.4,0.031496,0.082353,1.988412,2.43555,,,,,,,14.51152,18.57698,1.364733,1.037293,0.107262209,0.369587273,,,,,,,,,,,,,,,,,,,,,,3,3,1.39,1.87,,,,,0.222876,0.447521,,,,,1.588269,2.043467,0.128826806,,,0.198534,0.291924
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,8,15,7.5,10-20cm,10-20cm,1.5,1.56,1.497,1.533128,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,10.9,9.4,-0.064298644,-13.76146789,-0.136363636,0.4,0.4,0.036697,0.042553,1.856037,1.350575,,,,,,,11.42211,10.08798,1.07419,0.563288,-0.053942126,-0.121284545,,,,,,,,,,,,,,,,,,,,,,3,3,1.26,1.17,,,,,0.202032,0.28,,,,,1.320354,1.255632,-0.032184683,,,0.165044,0.179376
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,15,30,15,20-30cm,20-30cm,1.51,1.56,1.494406,1.542022,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,9.6,8.5,-0.052852307,-11.45833333,-0.1,0.3,0.4,0.03125,0.047059,1.810702,1.281685,,,,,,,21.51945,19.66078,2.023792,1.09781,-0.039230424,-0.16897,,,,,,,,,,,,,,,,,,,,,,3,3,1.15,1.08,,,,,0.184394,0.258462,,,,,2.57785,2.498076,-0.027274085,,,0.322231,0.356868
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.425718,1.447054,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,3.333333333,2.3,-0.161150909,-30.99999999,-0.093939394,0.233333333,0.433333333,0.0625,0.162162,0.689836667,0.358182333,,,,,,,14.24468567,9.961676,1.339638667,0.556235667,-0.155320458,-0.389364515,,,,,,,,,,,,,,,,,,,,,,3,3,0.486666667,0.356666667,,,,,0.078033333,0.085356333,,,,,2.079833667,1.545547,-0.134969078,,,0.259979333,0.220792333
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,subsurface drip,drippers,mixed,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.493709483,1.5013545,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,6.46,5.48,-0.07145196,-15.17027864,-0.326666667,1.1,1,0.170278638,0.182481752,1.336903633,0.82630974,,,,,,,14.47404489,12.34113399,1.361208821,0.689098852,-0.069234848,-0.7109703,,,,,,,,,,,,,,,,,,,,,,4,4,0.43,0.48,0.07,0.32,0.162790698,0.666666667,0.068947368,0.114871795,,,,,0.963442617,1.08097524,0.047772782,,,0.120430327,0.154425034
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,subsurface drip,drippers,mixed,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.503863506,1.513275,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,4.23,2.93,-0.159472747,-30.73286052,-0.433333333,0.96,0.79,0.226950355,0.269624573,0.875402844,0.420977011,,,,,,,9.542013946,6.650843625,0.897376901,0.371366903,-0.15676331,-0.96372344,,,,,,,,,,,,,,,,,,,,,,4,4,0.27,0.34,0.34,0.39,1.259259259,1.147058824,0.043292534,0.081367521,,,,,0.60906472,0.77177025,0.100115153,,,0.07613309,0.110252893
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,subsurface drip,drippers,mixed,,,,,,Plot,30,45,15,30-40cm,30+cm,,,1.471174138,1.48659675,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,2.74,1.82,-0.177679175,-33.57664234,-0.306666667,0.845,0.555,0.256410256,0.322115385,0.567045814,0.173197492,,,,,,,6.043210698,4.06022578,0.644947748,0.226713115,-0.172717552,-0.660994973,,,,,,,,,,,,,,,,,,,,,,4,4,0.12,0.215,0.04,0.11,0.285714286,0.5,0.019241126,0.051452992,,,,,0.264636871,0.479462388,0.253257214,,,0.033079609,0.068494627
41a,Trost et al.,2016,Germany,Thyrow-N,Europe,yes,N-,52° 15' N,13° 14' E,43,47,495.3,544,8.9,9.2,,0.6194,Dry sub-humid,1.6305,mixed,cereals,yes,1,once,CT,no,no,no,no,yes,no,yes,30,43,13,sprinkler,sprinkler,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.67,1.67,1.649214943,1.660504167,LS,83,3,LS,83,3,5.6,5.6,,,,,,,,,,,,,,5,5,,,,,,,,,,,,18.8,19.9,,,,,18.8,19.9,1.768042453,1.111167513,0.024695227,0.084615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41b,Trost et al.,2016,Germany,Thyrow+N,Europe,yes,N+,52° 15' N,13° 14' E,43,47,495.3,544,8.9,9.2,,0.6194,Dry sub-humid,1.6305,mixed,cereals,yes,1,once,CT,no,no,no,yes,yes,no,yes,30,43,13,sprinkler,sprinkler,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.67,1.67,1.648025,1.657940833,LS,83,3,LS,83,3,5.6,5.6,,,,,,,,,,,,,,5,5,,,,,,,,,,,,21.3,23,0.4,1.1,0.018779343,0.047826087,21.3,23,2.003154481,1.284263959,0.033348233,0.130769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Undersander and Reiger,1985,USA,Etter,North America,no,,36° 02' N,102° 00' W,,1103,370,441,,13,arid,0.2118,Semi-Arid,4.7302,cereals,cereals,no,4,multiple,CT,no,no,no,yes,yes,no,no,2,15,13,sprinkler,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.402849713,1.319684333,SiCL,,,SiCL,,,,,,,,,,,,,,,,,,2,2,8.2,13.2,0.206760079,60.97560976,0.384615385,1,1,0.12195122,0.075757576,1.69699842,0.995,,,,,,,17.25505147,26.12974979,1.62274806,1.459021562,0.180218992,0.682669102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Undersander and Reiger,1985,USA,Etter,North America,no,,36° 02' N,102° 00' W,,1103,370,441,,13,arid,0.2118,Semi-Arid,4.7302,cereals,cereals,no,4,multiple,CT,no,no,no,yes,yes,no,no,2,15,13,sprinkler,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.406951437,1.339185,SiCL,,,SiCL,,,,,,,,,,,,,,,,,,2,2,7.01,6.96,-0.003108778,-0.713266762,-0.003846154,1,1,0.142653352,0.143678161,1.450726698,0.522,,,,,,,14.79409436,13.9810914,1.391307813,0.780670078,-0.02454731,-0.062538689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Wang et al.,2014,China,Yangling,Asia,no,,34° 18' N,108° 04' E,525,509,600,651,13,13,temperate,0.5243,Dry sub-humid,1.9124,cereals,cereals,no,,,CT,yes,no,no,yes,,no,no,0,8,8,flood,floodfurr,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.21,1.21,1.23695977,1.277363,,,,,,,8.25,8.25,,,,,,,,,,,,,,4,4,8,8.06,0.003245055,0.75,0.0075,,,,,1.655608215,0.590107143,,,,,,,19.79135632,20.59109156,1.861274371,1.149756382,0.017203812,0.099966905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Xing et al.,2012,Canada,Fredericton,North America,no,,45° 55' N,66° 36' W,,23,,1142,,13,,1.2644,Humid,0.7872,vegetables,horticulture,no,,,,,,no,yes,,no,,1,3,2,drippers,drippers,fresh,,,,,,Plot,0,30,30,10-20cm,10-20cm,1.8,1.8,1.647670115,1.654385667,L,52,11,L,52,11,6.4,6.4,,,,,,,,,,,,,,4,4,1.652,1.548,-0.028239087,-6.295399516,-0.052,0.075,0.045,0.045399516,0.029069767,0.341883096,0.113335714,,,,,,,8.16585309,7.682967038,0.767956113,0.428998159,-0.026472592,-0.241443026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.461586,1.464557,LS,,,LS,,,6.8,6.2,,,,,,,,,,,,,,3,3,4.7,8.8,0.272384814,87.23404255,0.241176471,0.4,0.4,0.085106,0.045455,0.97267,0.66,,,,,,,6.869455,12.8881,0.646037,0.71964,0.273266614,0.354037941,3,3,0.19,0.61,0.1,0.2,0.526316,0.327869,0.112449,0.217841,,,,,0.277701,0.89338,,,,,0.506576234,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,10,20,10,10-20cm,10-20cm,,,1.460943,1.469442,LS,,,LS,,,6.9,6.1,,,,,,,,,,,,,,3,3,3.2,5.6,0.243038049,75,0.141176471,0.3,0.4,0.09375,0.071429,0.775566,0.652105,,,,,,,4.675016,8.228874,0.439661,0.45948,0.245557311,0.209050471,3,3,0.13,0.45,0.041,0.1,0.315385,0.222222,0.076939,0.160702,,,,,0.189923,0.661249,,,,,0.539269161,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,20,30,10,20-30cm,20-30cm,,,1.454238,1.446248,LS,,,LS,,,6.9,5.8,,,,,,,,,,,,,,3,3,2.4,4.1,0.232572615,70.83333333,0.1,1,0.8,0.416667,0.195122,0.666667,0.647368,,,,,,,3.490171,5.929617,0.328232,0.331095,0.230179937,0.143496824,3,3,0.007,0.2,0.021,0.1,3,0.5,0.004143,0.071423,,,,,0.01018,0.28925,,,,,1.455931956,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,30,40,10,30-40cm,30+cm,,,1.4644865,1.472733875,LS,,,LS,,,6.7625,5.4125,,,,,,,,,,,,,,3,3,1.3375,2.0375,0.182803827,52.3364486,0.041176471,0.475,0.4625,0.095238,0.075,0.318312625,0.20315725,,,,,,,3.570147875,5.578999625,0.335753875,0.311517875,0.193870127,0.11816775,3,3,0.0275,0.081625,0.031875,0.0425,4.714286,0.294118,0.016275375,0.029149375,,,,,0.078735375,0.223367375,,,,,0.4724905,,,,,,,,,,,,,,,,,,,,,
46,Alidoust et al.,2018,Iran,Lordegan,Middle East,no,,31° 23' N,50° 56' E,2310,3199,650,300,14.9,8.5,subtropical,0.18,Arid,5.5633,wheat and alfalfa,cereals,yes,,,CT,,,no,,,,,0,26,26,,,fresh,,,,,,Farm,0,5,5,0-10cm,0-10cm,,,1.404695115,1.328032778,,,35,,,35,,,,,,,,,,,,,,,,17,17,,,,,,,,,,,,10.37666667,10.37666667,,,,,10.37666667,10.37666667,0.73260908,0.579407783,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Alidoust et al.,2018,Iran,Lordegan,Middle East,no,,31° 23' N,50° 56' E,2310,3199,650,300,14.9,8.5,subtropical,0.18,Arid,5.5633,wheat and alfalfa,cereals,yes,,,CT,,,no,,,,,0,26,26,,,fresh,,,,,,Farm,15,30,15,20-30cm,20-30cm,,,1.415457759,1.394855833,,,35,,,35,,,,,,,,,,,,,,,,17,17,,,,,,,,,,,,18.14,18.14,,,,,18.14,18.14,1.705972877,1.012893401,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ma et al.,2018,China,"Jingtai County, Gansu Province",Asia,no,,37° 13' N,103° 51' E,1565,1884,185,218,8.6,7.4,arid,0.1507,Arid,6.5046,Wolfberry,woody crops,no,,,RT,no,,no,yes,,yes,,0,11,11,sprinklers,sprinkler,fresh,,,,,,Plot,0,100,100,40-50cm,30+cm,1.32,1.33,1.327197126,1.307553167,,,,,,,,,,,,,,,,,,,,,,3,3,6.33,9.55,0.178599662,50.86887836,0.292727273,1.31,0.5,0.206951027,0.052356021,1.31,0.5,,,,,,,84.01157808,124.8713274,7.900853009,6.97251067,0.172123586,3.714522665,,,,,,,,,,,,,,,,,,,,,,3,3,0.76,1.07,0.12,0.38,0.157894737,0.355140187,0.121860465,0.256068376,,,,,10.08669816,13.99081889,0.148570185,,,1.26083727,1.998688412
